 100.0     0.00    0.4065E+11    1     128^3 :  box [h^-1 Mpc], redshift, part. mass [h^-1 M_s], nspecies, n	#
objects with more than   20 particles found at linking lenght 0.20000	#
      #      x     y    z h^-1 Mpc         velocity[km/s]      lkl   mass h^-1 M_s  sigma  sigma_v  r_sph  delta  spin p.	WebID
      77   60.1082  10.2973  99.6730   174.5   199.5  -209.6     1269  0.5158E+14  0.7079   547.4  0.7437   348.4      0.1365    	2
      78   67.1732   6.4814  43.0338   -86.4  -160.6   399.1     1261  0.5125E+14  0.6378   512.6  0.7198   382.0      0.1075    	2
      79   35.1155  81.2579  74.4230   -15.5   230.0    26.4     1247  0.5069E+14  0.5327   520.3  0.7662   313.0      0.4870E-01	2
      80   91.9037   0.0415  32.7031   164.9   351.8   -75.1     1240  0.5040E+14  0.4723   558.3  0.7305   359.2      0.3627E-01	2
      81   30.4809  43.6431   2.0192    92.8  -123.1    69.9     1230  0.4999E+14  0.4094   608.9  0.6821   438.0      0.4321E-01	3
      82   62.7094  18.7744  86.1071  -494.1   -91.0   363.2     1200  0.4878E+14  0.4663   545.7  0.7155   370.0      0.4877E-01	3
      83   83.1139  93.1790  39.6201    95.7   517.1  -168.7     1197  0.4865E+14  0.4596   589.2  0.7059   384.4      0.2874E-01	3
      84   57.1802  18.4597  21.5338  -313.2   -16.2    -3.9     1179  0.4792E+14  0.4278   587.1  0.6657   451.7      0.2240E-01	3
      85   66.6273  21.7784  78.1928  -376.2  -382.9   246.9     1163  0.4727E+14  0.4654   529.1  0.7179   355.0      0.1485E-01	3
      86   24.7842  18.7519  90.9090   432.9  -300.1    22.8     1130  0.4593E+14  0.4001   608.3  0.6724   419.9      0.2050E-01	2
      87   34.8868  26.0730   1.2264   -45.6  -505.2   128.3     1108  0.4504E+14  0.4836   524.8  0.6705   415.2      0.5203E-01	2
      88   62.5280  28.4501  85.1717  -149.8  -549.9   207.3     1091  0.4434E+14  0.4657   513.5  0.7034   354.0      0.2465E-01	2
      89   81.3439  24.7540  62.8369  -116.7   -75.7   183.1     1086  0.4414E+14  0.7415   460.0  0.7617   277.3      0.3897E-01	3
      90   39.0172  52.0622  25.8886  -128.2  -554.3   106.8     1086  0.4414E+14  0.5040   501.8  0.6987   359.6      0.5114E-01	2
      91    3.6227  25.1356  49.2998   152.4  -465.7  -143.2     1084  0.4406E+14  0.4409   524.8  0.6750   398.2      0.9169E-01	2
      92   42.3559  27.7733  17.7739  -365.2   126.0    66.2     1075  0.4369E+14  0.4355   532.6  0.6813   383.9      0.1136E-01	2
      93   27.1194  35.5627  86.9523   210.3  -196.8   269.8     1071  0.4353E+14  0.5855   481.3  0.6938   362.1      0.4026E-01	3
      94   69.8904  35.0290  19.7578   -94.0  -263.0  -131.0     1064  0.4325E+14  0.4058   599.0  0.6581   421.7      0.2345E-01	2
      95   75.2858  99.2292  56.0359  -141.1   424.2   -98.6     1057  0.4296E+14  0.4180   581.5  0.6712   394.9      0.1755E-01	2
      96   35.5278  99.0764  24.7004   -84.0   336.9    13.5     1043  0.4239E+14  0.7431   408.9  0.7593   268.8      0.1238    	3
      97   97.2002  98.2978  10.8698   -71.7   413.6  -176.4     1024  0.4162E+14  0.4892   493.9  0.6910   350.4      0.1315E-01	3
      98   29.4903  20.8411   9.1659   755.0   241.8   207.1     1001  0.4069E+14  0.4757   515.8  0.6828   355.1      0.7527E-01	2
      99   54.1525  70.6337  70.6226   -68.3    95.6    34.0      993  0.4036E+14  0.3927   559.1  0.6346   439.0      0.5325E-01	3
     100   76.5923  10.5949  91.3077  -393.0  -175.8   209.5      989  0.4020E+14  0.4044   618.5  0.6494   407.9      0.6866E-01	3
     101    8.6072   7.0106  11.6200  -195.4   -69.2  -180.2      979  0.3979E+14  0.4471   508.2  0.6791   353.0      0.5863E-01	2
     102   21.6071  97.1862  62.3456    80.4   -19.9  -319.6      979  0.3979E+14  0.4222   486.8  0.6638   378.0      0.5555E-01	2
     103   46.5250  66.7604  28.4409  -214.8  -305.4   203.6      963  0.3914E+14  0.4237   563.4  0.6341   426.8      0.5247E-01	3
     104   33.0277  12.2253  12.3848    17.7   292.7   -99.8      951  0.3865E+14  0.3748   549.1  0.6183   454.5      0.1173E-01	2
     105   57.0091  15.1068  83.0055   -62.4   253.9    55.9      942  0.3829E+14  0.3447   574.5  0.6047   481.4      0.3856E-01	3
     106   12.5430  20.7712  47.8238   -94.1  -146.6  -252.1      942  0.3829E+14  0.4517   494.3  0.6944   317.6      0.4602E-01	3
     107   61.6872  30.0756  33.5887  -314.8  -350.3    19.1      938  0.3813E+14  0.4059   529.4  0.6281   427.6      0.9524E-01	2
     108   58.5221  62.9691  46.5097  -342.1   -88.7   -36.0      934  0.3796E+14  0.3745   537.6  0.6031   481.2      0.9535E-01	3
     109   69.6436   7.9849  98.2432   265.6   342.3  -485.1      934  0.3796E+14  0.3742   565.3  0.6412   400.3      0.3116E-01	2
     110   96.4525  91.1616  22.6031  -108.0   493.4   -56.9      929  0.3776E+14  0.5474   455.8  0.7070   296.7      0.1241    	3
     111   81.3941  41.7144  77.9504  -153.4  -388.2   180.9      928  0.3772E+14  0.4298   540.1  0.6778   336.5      0.3866E-01	2
     112   43.1264  30.5259  16.9691  -263.5  -382.9   179.2      925  0.3760E+14  0.4252   529.2  0.6240   430.2      0.3719E-01	3
     113   32.9192  23.7318   6.5255  -345.9  -244.4   371.8      913  0.3711E+14  0.3185   566.2  0.5821   523.2      0.6470E-01	3
     114   74.4587   7.6275  97.6222  -268.4   498.9  -270.9      911  0.3703E+14  0.4883   484.6  0.6853   319.5      0.2759E-01	3
     115   45.4657   1.6659  22.5239  -211.5   363.4   -37.2      877  0.3565E+14  0.3555   543.2  0.5821   502.4      0.4038E-01	2
     116   47.4025  65.6762  30.0307  -368.4  -123.3   -82.5      876  0.3561E+14  0.4537   488.3  0.6695   329.6      0.5297E-01	3
     117    4.6509  12.2920  97.5343   136.5  -189.2   297.4      876  0.3561E+14  0.4163   503.0  0.6479   363.7      0.4385E-01	2
     118   36.7920  44.4009  27.0310  -289.7  -867.2   236.5      870  0.3536E+14  0.3990   571.0  0.6393   376.1      0.3542E-01	3
     119   47.6576  25.9825  37.0353  -185.3  -142.6   -62.2      866  0.3520E+14  0.5307   457.4  0.6589   341.9      0.4837E-01	2
     120   88.8121  55.3508   8.4969    87.9   138.4  -124.0      861  0.3500E+14  0.6149   531.2  0.6830   305.0      0.3795    	2
     121   41.1740  56.2782  41.7097   -13.5  -244.3  -290.6      851  0.3459E+14  0.6468   435.3  0.6538   343.8      0.4269E-01	2
     122   92.4659   0.8460  81.8293    27.5   234.7   223.6      842  0.3422E+14  0.3959   523.7  0.6321   376.6      0.4041E-01	2
     123   97.8695  92.8206   3.0877   119.2   560.1   307.7      839  0.3410E+14  0.3526   552.4  0.6067   424.4      0.3001E-01	2
     124   50.2831   3.2952  44.3211    78.8   682.6   373.3      837  0.3402E+14  0.4704   464.2  0.6587   330.6      0.5947E-01	2
     125   82.0120   3.4819  41.5642    99.9   221.1  -273.9      830  0.3374E+14  0.4297   476.1  0.6473   345.6      0.5843E-01	3
     126   66.5620   8.8723  99.3255   191.3   264.1  -307.4      824  0.3349E+14  0.5215   464.6  0.6321   368.4      0.6168E-01	2
     127   71.0437  47.9995  91.5024   -45.7  -430.0    11.5      812  0.3300E+14  0.6632   421.4  0.6725   301.4      0.9961E-01	2
     128   95.0712  85.0536  24.0764   -25.4   542.6  -239.7      810  0.3292E+14  0.4809   478.1  0.6472   337.3      0.7976E-01	2
     129   55.5676  32.0900  11.7784  -120.4  -318.7    33.2      808  0.3284E+14  0.8118   409.1  0.6959   270.5      0.1091    	2
     130   68.3544  32.1375  64.2211    63.4  -364.3   145.8      805  0.3272E+14  0.4277   490.7  0.6226   376.7      0.2181E-01	3
     131   92.8072   3.9423  30.2082   108.6  -330.9   127.0      803  0.3264E+14  0.3415   522.9  0.5916   438.2      0.2582E-01	2
     132   26.2123  30.1278  27.2111   137.8    41.4  -411.3      802  0.3260E+14  0.3157   615.5  0.5645   503.8      0.1952E-01	2
     133   29.0105  43.0000  39.1224   212.5  -307.7  -488.7      790  0.3211E+14  0.3764   515.3  0.6136   386.3      0.2167E-01	3
     134   37.3686  85.3954  44.3569    82.4   288.8   137.4      788  0.3203E+14  0.5530   479.0  0.6221   369.6      0.3974E-01	2
     135   74.1241  46.5748  18.5275   -10.8  -226.5  -146.4      787  0.3199E+14  0.4015   476.9  0.6298   355.8      0.4226E-01	3
     136   45.5276  19.4744  39.0348    82.8  -106.2  -123.1      777  0.3158E+14  0.4016   509.5  0.6299   351.1      0.1018E-01	3
